TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId_x,CityId,CityName,Country,Region,Continent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,AttractionCityName,CountryId_y,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionPopularity
1,1305,2021,5,Couples,108,5,3,6,14,35,USA-West City 2,USA-West,North America West,North America,34,3,Historical Site #108,USA-West City 1 Main Road,Historical Site,USA-West City 1,14,3.6666666666666665,9,3.7482014388489207,139
2,1494,2023,6,Friends,46,4,1,2,6,14,Indonesia City 2,Indonesia,Southeast Asia,Asia,5,4,Park #46,Sri Lanka City 3 Main Road,Park,Sri Lanka City 3,2,3.6363636363636362,11,3.645390070921986,141
3,1647,2021,12,Business,38,4,1,2,4,10,Thailand City 2,Thailand,Southeast Asia,Asia,55,3,Historical Site #38,New Zealand City 3 Main Road,Historical Site,New Zealand City 3,21,3.8461538461538463,13,3.603448275862069,116
4,685,2023,8,Family,122,3,3,5,12,30,USA-East City 3,USA-East,North America East,North America,59,5,Religious Site #122,Samoa City 2 Main Road,Religious Site,Samoa City 2,23,3.6666666666666665,9,3.377952755905512,127
5,337,2019,1,Friends,140,5,2,3,8,18,Germany City 1,Germany,Western Europe,Europe,25,1,Beach #140,Romania City 1 Main Road,Beach,Romania City 1,11,3.625,8,4.054421768707483,147
6,53,2024,5,Family,84,5,1,1,3,6,Nepal City 1,Nepal,South Asia,Asia,47,6,Adventure #84,Nigeria City 2 Main Road,Adventure,Nigeria City 2,18,3.5454545454545454,11,3.868217054263566,129
7,294,2019,1,Family,125,5,1,2,6,15,Indonesia City 3,Indonesia,Southeast Asia,Asia,14,4,Park #125,Indonesia City 2 Main Road,Park,Indonesia City 2,6,4.363636363636363,11,3.4603174603174605,126
10,537,2022,6,Family,125,3,4,8,19,48,Ghana City 1,Ghana,West Africa,Africa,14,4,Park #125,Indonesia City 2 Main Road,Park,Indonesia City 2,6,3.25,12,3.4603174603174605,126
11,1647,2020,4,Friends,2,5,1,2,4,10,Thailand City 2,Thailand,Southeast Asia,Asia,47,6,Adventure #2,Nigeria City 2 Main Road,Adventure,Nigeria City 2,18,3.8461538461538463,13,3.808,125
12,1107,2019,9,Business,6,3,4,8,18,47,Nigeria City 2,Nigeria,West Africa,Africa,33,8,Wildlife #6,Canada-East City 3 Main Road,Wildlife,Canada-East City 3,13,3.909090909090909,11,3.8507462686567164,134
13,1078,2024,3,Business,133,4,5,9,20,51,Australia City 1,Australia,Australasia,Oceania,40,2,Museum #133,Kenya City 1 Main Road,Museum,Kenya City 1,16,3.875,8,3.421875,128
14,910,2023,10,Couples,22,4,5,10,23,58,Samoa City 1,Samoa,Pacific Islands,Oceania,5,8,Wildlife #22,Sri Lanka City 3 Main Road,Wildlife,Sri Lanka City 3,2,3.6666666666666665,15,3.85,160
15,1639,2023,11,Couples,110,5,5,10,23,59,Samoa City 2,Samoa,Pacific Islands,Oceania,6,6,Adventure #110,Nepal City 1 Main Road,Adventure,Nepal City 1,3,3.625,8,3.780701754385965,114
16,87,2020,3,Business,64,3,1,1,1,1,India City 1,India,South Asia,Asia,6,6,Adventure #64,Nepal City 1 Main Road,Adventure,Nepal City 1,3,3.6666666666666665,15,3.8636363636363638,110
17,186,2022,7,Business,119,4,2,3,7,16,France City 1,France,Western Europe,Europe,13,3,Historical Site #119,Indonesia City 1 Main Road,Historical Site,Indonesia City 1,6,3.75,12,3.622950819672131,122
18,847,2023,2,Business,100,3,5,9,21,55,New Zealand City 3,New Zealand,Australasia,Oceania,39,2,Museum #100,Canada-West City 3 Main Road,Museum,Canada-West City 3,15,3.75,8,3.5163934426229506,122
19,789,2021,8,Business,11,4,1,2,6,14,Indonesia City 2,Indonesia,Southeast Asia,Asia,33,6,Adventure #11,Canada-East City 3 Main Road,Adventure,Canada-East City 3,13,3.6923076923076925,13,3.768595041322314,121
20,1092,2020,9,Business,51,3,3,6,14,35,USA-West City 2,USA-West,North America West,North America,8,2,Museum #51,Nepal City 3 Main Road,Museum,Nepal City 3,3,3.1,10,3.382608695652174,115
21,1476,2023,1,Friends,107,4,3,5,12,29,USA-East City 2,USA-East,North America East,North America,38,1,Beach #107,Canada-West City 2 Main Road,Beach,Canada-West City 2,15,3.272727272727273,11,4.124031007751938,129
22,1176,2024,12,Solo,139,4,3,5,12,28,USA-East City 1,USA-East,North America East,North America,40,6,Adventure #139,Kenya City 1 Main Road,Adventure,Kenya City 1,16,3.7142857142857144,7,3.7841726618705036,139
23,515,2019,4,Family,121,4,1,2,5,12,Vietnam City 2,Vietnam,Southeast Asia,Asia,25,3,Historical Site #121,Romania City 1 Main Road,Historical Site,Romania City 1,11,3.5294117647058822,17,3.798507462686567,134
