CityId,CityName,CountryId
1,India City 1,1
2,India City 2,1
3,Sri Lanka City 1,2
4,Sri Lanka City 2,2
5,Sri Lanka City 3,2
6,Nepal City 1,3
7,Nepal City 2,3
8,Nepal City 3,3
9,Thailand City 1,4
10,Thailand City 2,4
11,Vietnam City 1,5
12,Vietnam City 2,5
13,Indonesia City 1,6
14,Indonesia City 2,6
15,Indonesia City 3,6
16,France City 1,7
17,France City 2,7
18,Germany City 1,8
19,Germany City 2,8
20,Germany City 3,8
21,Spain City 1,9
22,Spain City 2,9
23,Poland City 1,10
24,Poland City 2,10
25,Romania City 1,11
26,Romania City 2,11
27,Romania City 3,11
28,USA-East City 1,12
29,USA-East City 2,12
30,USA-East City 3,12
31,Canada-East City 1,13
32,Canada-East City 2,13
33,Canada-East City 3,13
34,USA-West City 1,14
35,USA-West City 2,14
36,USA-West City 3,14
37,Canada-West City 1,15
38,Canada-West City 2,15
39,Canada-West City 3,15
40,Kenya City 1,16
41,Kenya City 2,16
42,Kenya City 3,16
43,Tanzania City 1,17
44,Tanzania City 2,17
45,Tanzania City 3,17
46,Nigeria City 1,18
47,Nigeria City 2,18
48,Ghana City 1,19
49,Ghana City 2,19
50,Ghana City 3,19
51,Australia City 1,20
52,Australia City 2,20
53,New Zealand City 1,21
54,New Zealand City 2,21
55,New Zealand City 3,21
56,Fiji City 1,22
57,Fiji City 2,22
58,Samoa City 1,23
59,Samoa City 2,23
