TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
1,1305,2021,5,Couples,108,5.0
2,1494,2023,6,Friends,46,4.0
3,1647,2021,12,Business,38,4.0
4,685,2023,8,Family,122,3.0
5,337,2019,1,Friends,140,5.0
6,53,2024,5,Family,84,5.0
7,294,2019,1,FAMILY,125,5.0
8,131,2019,11,COUPLES,127,
9,1722,2021,10,Friends,89,
10,537,2022,6,Family,125,3.0
11,1647,2020,4,Friends,2,5.0
12,1107,2019,9,Business,6,3.0
13,1078,2024,3,Business,133,4.0
14,910,2023,10,Couples,22,4.0
15,1639,2023,11,Couples,110,5.0
16,87,2020,3,Business,64,3.0
17,186,2022,7,Business,119,4.0
18,847,2023,2,Business,100,3.0
19,789,2021,8,Business,11,4.0
20,1092,2020,9,Business,51,3.0
21,1476,2023,1,Friends,107,4.0
22,1176,2024,12,Solo,139,4.0
23,515,2019,4,Family,121,4.0
24,655,2023,6,Couples,134,3.0
25,1505,2024,4,Couples,144,4.0
26,403,2022,11,Friends,135,3.0
27,1009,2019,10,Solo,88,3.0
28,1078,2023,12,COUPLES,51,4.0
29,1501,2024,5,Business,77,2.0
30,1429,2020,7,COUPLES,120,4.0
31,930,2019,7,Couples,64,5.0
32,619,2020,3,Business,125,3.0
33,736,2023,12,Family,106,3.0
34,824,2022,11,Business,32,3.0
35,439,2019,12,Business,139,4.0
36,1251,2022,6,Friends,127,4.0
37,417,2023,2,Friends,90,4.0
38,1298,2020,2,Couples,30,4.0
39,1503,2022,7,Friends,35,4.0
40,1924,2020,10,Couples,126,3.0
41,238,2019,9,Couples,3,4.0
42,1520,2021,9,Business,73,3.0
43,172,2023,10,Couples,93,4.0
44,675,2023,11,Business,35,3.0
45,353,2019,12,Family,130,3.0
46,325,2020,5,Friends,79,4.0
47,351,2022,9,BUSINESS,10,3.0
48,88,2020,4,Couples,49,4.0
49,1647,2020,9,Couples,60,5.0
50,123,2021,1,Couples,34,3.0
51,798,2023,1,Friends,142,3.0
52,1399,2022,3,Business,55,4.0
53,1981,2024,7,Family,76,4.0
54,1708,2019,11,Family,81,4.0
55,275,2021,8,Friends,34,2.0
56,1976,2022,7,Couples,86,3.0
57,1308,2023,9,Business,54,2.0
58,360,2022,11,Business,2,3.0
59,898,2024,8,Family,62,4.0
60,1836,2024,9,Family,88,2.0
61,786,2023,5,Family,18,4.0
62,368,2021,12,Business,117,2.0
63,1751,2020,6,Business,100,3.0
64,1906,2022,11,Family,47,5.0
65,1952,2021,12,Business,89,4.0
66,1912,2019,11,Solo,46,4.0
